Vivado Simulator 2018.1
Time resolution is 1 ps
Iniciando simulaci鏮CLK_100MHZ iniciado
聲gulo =                     0, 00b60b60, Xout =  32765, Yout =      2
聲gulo =                   228, a2d82d82, Xout =  21924, Yout =  24348
聲gulo =                   229, a38e38e3, Xout =  21493, Yout =  24728
聲gulo =                   230, a4444444, Xout =  21061, Yout =  25100
聲gulo =                   231, a4fa4fa4, Xout =  20619, Yout =  25462
聲gulo =                   232, a5b05b05, Xout =  20172, Yout =  25819
聲gulo =                   233, a6666666, Xout =  19719, Yout =  26165
聲gulo =                   234, a71c71c7, Xout =  19256, Yout =  26508
聲gulo =                   235, a7d27d27, Xout =  18794, Yout =  26839
聲gulo =                   236, a8888888, Xout =  18320, Yout =  27162
聲gulo =                   237, a93e93e9, Xout =  17849, Yout =  27473
聲gulo =                   238, a9f49f49, Xout =  17364, Yout =  27787
聲gulo =                   239, aaaaaaaa, Xout =  16875, Yout =  28085
聲gulo =                   240, ab60b60b, Xout =  16383, Yout =  28377
聲gulo =                   241, ac16c16c, Xout =  15886, Yout =  28656
聲gulo =                   242, accccccc, Xout =  15384, Yout =  28929
聲gulo =                   243, ad82d82d, Xout =  14876, Yout =  29193
聲gulo =                   244, ae38e38e, Xout =  14365, Yout =  29448
聲gulo =                   245, aeeeeeee, Xout =  13847, Yout =  29698
聲gulo =                   246, afa4fa4f, Xout =  13325, Yout =  29934
聲gulo =                   247, b05b05b0, Xout =  12799, Yout =  30162
聲gulo =                   248, b1111111, Xout =  12277, Yout =  30377
聲gulo =                   249, b1c71c71, Xout =  11743, Yout =  30587
聲gulo =                   250, b27d27d2, Xout =  11208, Yout =  30785
聲gulo =                   251, b3333333, Xout =  10666, Yout =  30979
聲gulo =                   252, b3e93e93, Xout =  10121, Yout =  31164
聲gulo =                   253, b49f49f4, Xout =   9575, Yout =  31335
聲gulo =                   254, b5555555, Xout =   9034, Yout =  31493
聲gulo =                   255, b60b60b6, Xout =   8478, Yout =  31651
聲gulo =                   256, b6c16c16, Xout =   7927, Yout =  31790
聲gulo =                   257, b7777777, Xout =   7368, Yout =  31924
聲gulo =                   258, b82d82d8, Xout =   6815, Yout =  32046
聲gulo =                   259, b8e38e38, Xout =   6251, Yout =  32163
聲gulo =                   260, b9999999, Xout =   5690, Yout =  32266
聲gulo =                   261, ba4fa4fa, Xout =   5124, Yout =  32362
聲gulo =                   262, bb05b05b, Xout =   4560, Yout =  32445
聲gulo =                   263, bbbbbbbb, Xout =   3993, Yout =  32522
聲gulo =                   264, bc71c71c, Xout =   3425, Yout =  32585
聲gulo =                   265, bd27d27d, Xout =   2857, Yout =  32639
聲gulo =                   266, bddddddd, Xout =   2288, Yout =  32685
聲gulo =                   267, be93e93e, Xout =   1714, Yout =  32718
聲gulo =                   268, bf49f49f, Xout =   1146, Yout =  32743
聲gulo =                   269, c0000000, Xout =    574, Yout =  32757
